User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA2UWM6DKBP5AEC7WE,2021-03-12T08:18:51Z,cloudtrail.amazonaws.com,CreateTrail,us-east-2,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:731647974018:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-731647974018-95513853""}]",212eb6cd-5485-468f-bb27-5aedec8e58f4,2ba90f08-e024-45de-b83a-ec6a5bcabbc2,FALSE,AwsApiCall,7.31648E+11,Management
CloudTrail,ASIA2UWM6DKBP5AEC7WE,2021-03-12T08:18:51Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-2,71.227.159.138,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.964 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-731647974018-95513853""}]",ZAMN7QC2X08Y2TPC,4831972d-eba3-4119-be59-9e9ffea60dcb,FALSE,AwsApiCall,7.31648E+11,Management
CloudTrail,ASIA2UWM6DKBP5AEC7WE,2021-03-12T08:18:51Z,s3.amazonaws.com,PutBucketPolicy,us-east-2,71.227.159.138,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.964 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-731647974018-95513853""}]",ZAMTGPVZ6GXYFZK3,c9d9da7a-d5a1-4fb4-b29e-8a10f8fd79e9,FALSE,AwsApiCall,7.31648E+11,Management
CloudTrail,ASIA2UWM6DKBP5AEC7WE,2021-03-12T08:18:51Z,s3.amazonaws.com,CreateBucket,us-east-2,71.227.159.138,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.964 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-731647974018-95513853""}]",H285NREVG0EFAZ2M,ec8eb366-252d-427b-864f-375022803e9b,FALSE,AwsApiCall,7.31648E+11,Management
CloudTrail,ASIA2UWM6DKBP5AEC7WE,2021-03-12T08:18:51Z,cloudtrail.amazonaws.com,StartLogging,us-east-2,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",7aabc6cd-9303-450c-9a92-c7e1e03a0abe,f7f03c22-adaf-4eaf-ac99-670d9f3bb7ad,FALSE,AwsApiCall,7.31648E+11,Management
CloudTrail,ASIA2UWM6DKBFIIJDMCP,2021-03-12T08:16:43Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],0b391ba1-e756-4661-aec9-af7f92a95034,5f13820c-b33e-4fe2-b739-ae0d55661664,FALSE,AwsApiCall,7.31648E+11,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T08:12:51Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",8e6b6937-6b4e-4399-b1e0-5f0fed0623ff,6d1784e7-9d95-4946-a50f-b9bcb73b0c0d,FALSE,AwsApiCall,7.31648E+11,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T08:12:50Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",afe28dbc-9cd3-4852-a32d-ed97f6a83611,48afcae6-9120-454d-a98d-4f0fc1d33769,FALSE,AwsApiCall,7.31648E+11,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T08:12:50Z,iam.amazonaws.com,AddUserToGroup,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",a7200a6a-b4a8-484c-9e0f-291ce4cdb88d,79f00882-4af9-4116-8ff2-29dc7caf550e,FALSE,AwsApiCall,7.31648E+11,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T08:12:50Z,iam.amazonaws.com,CreateUser,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::731647974018:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA2UWM6DKBLMUS64BY6""}]",c3aa9989-b72e-4753-a00a-3987418e6e28,cc955c95-3612-410e-8756-59edb114c459,FALSE,AwsApiCall,7.31648E+11,Management
